title,url,pub_date,duration,status,filename,size_mb,format,guid,speakers,transcription_status,transcript_path,diarization_status,diarized_transcript_path
"NerdCast 991 - Quarteto Fantástico: família, o universo e tudo mais",https://pdst.fm/e/traffic.megaphone.fm/JNPD9721964579.mp3,2025-08-14,128m12s,downloaded,NerdCast 991 - Quarteto Fantástico_ família_ o universo e tudo mais.mp3,87.3,mp3,a5309412-7913-11f0-b6d9-b357fee6cf36,,not_transcribed,,not_diarized,
"NerdCast 992 - Morango do Amor - Hype, Ciência e Maluquices com comidas",https://pdst.fm/e/traffic.megaphone.fm/JNPD6352635298.mp3,2025-08-14,79m42s,downloaded,NerdCast 992 - Morango do Amor - Hype_ Ciência e Maluquices com comidas.mp3,54.4,mp3,529f6b50-7914-11f0-89ec-4f077a6926b5,Azaghal|Tucano,not_transcribed,,not_diarized,
NerdCast 990 - Ozzy Osbourne: o histórico príncipe das trevas,https://pdst.fm/e/traffic.megaphone.fm/JNPD7304140487.mp3?updated=1753983866,2025-07-25,108m31s,downloaded,NerdCast 990 - Ozzy Osbourne_ o histórico príncipe das trevas.mp3,73.7,mp3,https://jovemnerd.com.br/nerdcast/ozzy-osbourne-o-historico-principe-das-trevas/,,not_transcribed,,not_diarized,
"NerdCast 989 - Superman: James Gunn salvando fãs, esquilos e o DCU",https://pdst.fm/e/traffic.megaphone.fm/JNPD5394181780.mp3?updated=1753983867,2025-07-18,120m57s,downloaded,NerdCast 989 - Superman_ James Gunn salvando fãs_ esquilos e o DCU.mp3,82.3,mp3,https://jovemnerd.com.br/nerdcast/superman-james-gunn-salvando-fas-esquilos-e-o-dcu/,Azaghal|Carlos Voltor|Katiucha Barcelos|Marcelo Bassoli,not_transcribed,,not_diarized,
NerdCast 988 - Filmes de Terror Bizarros para Apreciadores Peculiares,https://pdst.fm/e/traffic.megaphone.fm/JNPD1559950716.mp3?updated=1753983867,2025-07-11,109m02s,downloaded,NerdCast 988 - Filmes de Terror Bizarros para Apreciadores Peculiares.mp3,74.1,mp3,https://jovemnerd.com.br/nerdcast/filmes-de-terror-bizarros-para-apreciadores-peculiares/,Azaghal|Carlos Voltor,not_transcribed,,not_diarized,
NerdCast 987 - Profissão: Editor de Gibis e a treta JN x Pipoca e Nanquim,https://pdst.fm/e/traffic.megaphone.fm/JNPD4152562214.mp3?updated=1753983868,2025-07-04,124m09s,downloaded,NerdCast 987 - Profissão_ Editor de Gibis e a treta JN x Pipoca e Nanquim.mp3,84.5,mp3,https://jovemnerd.com.br/nerdcast/profissao-editor-de-gibis-e-a-treta-jn-x-pipoca-e-nanquim/,,not_transcribed,,not_diarized,
"NerdCast 986 - Remake do reboot, remake ou continuação de novo?",https://pdst.fm/e/traffic.megaphone.fm/JNPD7694923967.mp3?updated=1753983869,2025-06-27,98m31s,downloaded,NerdCast 986 - Remake do reboot_ remake ou continuação de novo_.mp3,66.9,mp3,https://jovemnerd.com.br/nerdcast/remake-do-reboot-remake-ou-continuacao-de-novo/,,not_transcribed,,not_diarized,
NerdCast 985 - The Studio: The Office para amantes do cinema,https://pdst.fm/e/traffic.megaphone.fm/JNPD4155358151.mp3?updated=1753983870,2025-06-20,108m34s,downloaded,NerdCast 985 - The Studio_ The Office para amantes do cinema.mp3,73.8,mp3,https://jovemnerd.com.br/nerdcast/the-studio-the-office-para-amantes-do-cinema/,,not_transcribed,,not_diarized,
NerdCast 984 - Especial Dia dos Namorados 2025,https://pdst.fm/e/traffic.megaphone.fm/JNPD1950096341.mp3?updated=1753983871,2025-06-13,146m55s,downloaded,NerdCast 984 - Especial Dia dos Namorados 2025.mp3,100.2,mp3,https://jovemnerd.com.br/nerdcast/especial-dia-dos-namorados-2025/,,not_transcribed,,not_diarized,
NerdCast Oferecido por Ragnarok Online LATAM - Ragnarok LATAM: explorando de Prontera a Brasilis,https://pdst.fm/e/traffic.megaphone.fm/JNPD9988753319.mp3?updated=1753983871,2025-06-10,80m03s,downloaded,NerdCast Oferecido por Ragnarok Online LATAM - Ragnarok LATAM_ explorando de Prontera a Brasilis.mp3,54.2,mp3,https://jovemnerd.com.br/nerdcast/extra/ragnarok-latam-explorando-de-prontera-a-brasilis/,,not_transcribed,,not_diarized,
NerdCast 983 - O pensamento crítico e a força do Pirulla,https://pdst.fm/e/traffic.megaphone.fm/JNPD7741574444.mp3?updated=1753983872,2025-06-06,102m01s,downloaded,NerdCast 983 - O pensamento crítico e a força do Pirulla.mp3,69.3,mp3,https://jovemnerd.com.br/nerdcast/o-pensamento-critico-e-a-forca-do-pirulla/,,not_transcribed,,not_diarized,
NerdCast 982 - The Last of Us 2: Queremos tentar perdoar?,https://pdst.fm/e/traffic.megaphone.fm/JNPD4279492906.mp3?updated=1753983873,2025-05-30,152m54s,downloaded,NerdCast 982 - The Last of Us 2_ Queremos tentar perdoar_.mp3,104.3,mp3,https://jovemnerd.com.br/nerdcast/the-last-of-us-2-queremos-tentar-perdoar/,,not_transcribed,,not_diarized,
NerdCast 981 - Andor 2 – Star Wars brilhando com fulgor,https://pdst.fm/e/traffic.megaphone.fm/JNPD6753879436.mp3?updated=1753983874,2025-05-23,132m33s,downloaded,NerdCast 981 - Andor 2 _ Star Wars brilhando com fulgor.mp3,90.3,mp3,https://jovemnerd.com.br/nerdcast/andor-2-star-wars-brilhando-com-fulgor/,,not_transcribed,,not_diarized,
NerdCast 980 - Pecadores: uma história de sangue e blues,https://pdst.fm/e/traffic.megaphone.fm/JNPD9185770966.mp3?updated=1753983875,2025-05-16,115m20s,downloaded,NerdCast 980 - Pecadores_ uma história de sangue e blues.mp3,104.6,mp3,https://jovemnerd.com.br/nerdcast/pecadores-uma-historia-de-sangue-e-blues/,,not_transcribed,,not_diarized,
NerdCast 979 - Pauta Frouxa: 100 Humanos vs 1 Gorila,https://pdst.fm/e/traffic.megaphone.fm/JNPD7919473657.mp3?updated=1753983876,2025-05-09,94m56s,downloaded,NerdCast 979 - Pauta Frouxa_ 100 Humanos vs 1 Gorila.mp3,64.5,mp3,https://jovemnerd.com.br/nerdcast/pauta-frouxa-100-humanos-vs-1-gorila/,,not_transcribed,,not_diarized,
NerdCast 978 - Profissão criador de brinquedos: a verdade sobre a adaga do Fofão!,https://pdst.fm/e/traffic.megaphone.fm/JNPD6766015027.mp3?updated=1753983878,2025-05-02,115m05s,downloaded,NerdCast 978 - Profissão criador de brinquedos_ a verdade sobre a adaga do Fofão_.mp3,78.3,mp3,https://jovemnerd.com.br/nerdcast/profissao-criador-de-brinquedos-a-verdade-sobre-a-adaga-do-fofao/,,not_transcribed,,not_diarized,
NerdCast 977 - Demolidor renascido com a bunda virada pra decepção,https://pdst.fm/e/traffic.megaphone.fm/JNPD8159862664.mp3?updated=1753983880,2025-04-25,81m08s,downloaded,NerdCast 977 - Demolidor renascido com a bunda virada pra decepção.mp3,55.3,mp3,https://jovemnerd.com.br/nerdcast/demolidor-renascido-com-a-bunda-virada-pra-decepcao/,,not_transcribed,,not_diarized,
NerdCast Oferecido por Netflix  - A Batalha dos Crossovers 13,https://pdst.fm/e/traffic.megaphone.fm/JNPD9238781774.mp3?updated=1753983882,2025-04-18,57m14s,downloaded,NerdCast Oferecido por Netflix  - A Batalha dos Crossovers 13.mp3,38.6,mp3,https://jovemnerd.com.br/nerdcast/extra/a-batalha-dos-crossovers-13/,,not_transcribed,,not_diarized,
NerdCast 976 - O Sul do Estados Unidos: do Blues ao Jambalaya,https://pdst.fm/e/traffic.megaphone.fm/JNPD2134683648.mp3?updated=1753983881,2025-04-18,80m29s,downloaded,NerdCast 976 - O Sul do Estados Unidos_ do Blues ao Jambalaya.mp3,54.5,mp3,https://jovemnerd.com.br/nerdcast/o-sul-do-estado-unidos-do-blues-ao-jambalaya/,,not_transcribed,,not_diarized,
NerdCast 975 - Mitos da Ciência 4,https://pdst.fm/e/traffic.megaphone.fm/JNPD1034437300.mp3?updated=1753983883,2025-04-11,103m00s,downloaded,NerdCast 975 - Mitos da Ciência 4.mp3,70.0,mp3,https://jovemnerd.com.br/nerdcast/mitos-da-ciencia-4/,Sra. Jovem Nerd,not_transcribed,,not_diarized,
"NerdCast 974 - Qual é a pauta? Boca a boca, fanfic de nome e personagens icônicas",https://pdst.fm/e/traffic.megaphone.fm/JNPD5625670362.mp3?updated=1753983884,2025-04-04,104m51s,downloaded,NerdCast 974 - Qual é a pauta_ Boca a boca_ fanfic de nome e personagens icônicas.mp3,71.3,mp3,https://jovemnerd.com.br/nerdcast/qual-e-a-pauta-boca-a-boca-fanfic-de-nome-e-personagens-iconicas/,,not_transcribed,,not_diarized,
NerdCast 973 - Ruptura 2: arte em sua forma mais pura e corporativa,https://pdst.fm/e/traffic.megaphone.fm/JNPD5025005821.mp3?updated=1753983886,2025-03-28,154m13s,downloaded,NerdCast 973 - Ruptura 2_ arte em sua forma mais pura e corporativa.mp3,105.2,mp3,https://jovemnerd.com.br/nerdcast/ruptura-2-arte-em-sua-forma-mais-pura-e-corporativa/,,not_transcribed,,not_diarized,
